taxid	taxonomy	CMS001_001_Ra_S1	CMS001_002_Ra_S1	CMS001_003_Ra_S2	CMS001_004_Ra_S2	CMS001_005_Ra_S3	CMS001_006_Ra_S5	CMS001_007_Ra_S12	CMS001_008_Ra_S3	CMS001_009_Ra_S13	CMS001_010_Ra_S1	CMS001_011_Ra_S4	CMS001_012_Ra_S4	CMS001_013_Ra_S5	CMS001_014_Ra_S5	CMS001_015_Ra_S13	CMS001_016_Ra_S6	CMS001_017_Ra_S6	CMS001_018_Ra_S14	CMS001_019_Ra_S14	CMS001_020_Ra_S15	CMS001_021_Ra_S16	CMS001_022_Ra_S6	CMS001_023_Ra_S17	CMS001_024_Ra_S15	CMS001_025_Ra_S7	CMS001_026_Ra_S18	CMS001_027_Ra_S16	CMS001_028_Ra_S17	CMS001_029_Ra_S18	CMS001_030_Ra_S7	CMS001_031_Ra_S19	CMS001_032_Ra_S7	CMS001_033_Ra_S8	CMS001_034_Ra_S19	CMS001_035_Ra_S20	CMS001_036_Ra_S20	CMS001_037_Ra_S21	CMS001_038_Ra_S22	CMS001_039_Ra_S9	CMS001_040_Ra_S21	CMS001_041_Ra_S10	CMS001_042_Ra_S23	CMS001_043_Ra_S24	CMS001_044_Ra_S25	CMS001_045_Ra_S2	CMS001_046_Ra_S3	CMS001_047_Ra_S4	CMS001_048_Ra_S5	CMS001_049_Ra_S6	CMS001_050_Ra_S23	CMS001_051_Ra_S8	CMS001_052_Ra_S7	CMS001_053_Ra_S8	CMS001_054_Ra_S11	CMS001_055_Ra_S9	CMS001_056_Ra_S10	CMS001_057_Ra_S11	CMS001_058_Ra_S9	CMS001_059_Ra_S10	CMS001_060_Ra_S12	CMS001_water2_S24	CMS001_water3_Qiagen_S26	CMS001_water4_Zymo_S27	CMS002_001a_Rb_S116_L004	CMS002_004a_Rb_S117_L004	CMS002_007a_Rb_S118_L004	CMS002_010a_Rb_S119_L004	CMS002_013a_Rb_S120_L004	CMS002_017a_Rb_S122_L004	CMS002_017b_Rb_S123_L004	CMS002_017c_Rb_S124_L004	CMS002_017d_Rb_S125_L004	CMS002_017e_Rb_S126_L004	CMS002_018a_Rb_S128_L004	CMS002_018b_Rb_S129_L004	CMS002_019a_Rb_S130_L004	CMS002_020a_Rb_S131_L004	CMS002_020b_Rb_S132_L004	CMS002_020c_Rb_S133_L004	CMS002_020d_Rb_S134_L004	CMS002_020e_Rb_S135_L004	CMS002_021a_Rb_S136_L004	CMS002_022a_Rb_S137_L004	CMS002_023a_Rb_S138_L004	CMS002_025a_Rb_S140_L004	CMS002_025b_Rb_S141_L004	CMS002_025c_Rb_S142_L004	CMS002_025e_Rb_S144_L004	CMS002_026a_Rb_S146_L004	CMS002_026b_Rb_S147_L004	CMS002_026c_Rb_S148_L004	CMS002_026d_Rb_S149_L004	CMS002_026e_Rb_S150_L004	CMS002_027a_Rb_S152_L004	CMS002_027b_Rb_S153_L004	CMS002_028a_Rb_S154_L004	CMS002_028b_Rb_S155_L004	CMS002_028c_Rb_S156_L004	CMS002_028d_Rb_S157_L004	CMS002_028e_Rb_S158_L004	CMS002_029a_Rb_S159_L004	CMS002_029b_Rb_S160_L004	CMS002_029c_Rb_S161_L004	CMS002_029d_Rb_S162_L004	CMS002_029e_Rb_S164_L004	CMS002_031a_Rb_S165_L004	CMS002_032a_Rb_S166_L004	CMS002_033a_Rb_S167_L004	CMS002_034a_Rb_S168_L004	CMS002_035a_Rb_S169_L004	CMS002_036a_Rb_S170_L004	CMS002_037a_Rb_S171_L004	CMS002_038a_Rb_S172_L004	CMS002_039a_Rb_S173_L004	CMS002_040a_Rb_S174_L004	CMS002_041a_Rb_S176_L004	CMS002_042a_Rb_S177_L004	CMS002_044a_Rb_S178_L004	CMS002_044b_Rb_S179_L004	CMS002_044c_Rb_S180_L004	CMS002_044d_Rb_S181_L004	CMS002_044e_Rb_S182_L004	CMS002_045a_Rb_S183_L004	CMS002_045b_Rb_S184_L004	CMS002_045c_Rb_S185_L004	CMS002_045d_Rb_S186_L004	CMS002_045e_Rb_S188_L004	CMS002_045f_Rb_S189_L004	CMS002_045g_Rb_S190_L004	CMS002_046a_Rb_S191_L004	CMS002_046b_Rb_S192_L004	CMS002_047a_Rb_S193_L004	CMS002_047b_Rb_S194_L004	CMS002_047c_Rb_S195_L004	CMS002_047d_Rb_S196_L004	CMS002_047e_Rb_S197_L004	CMS002_047f_Rb_S198_L004	CMS002_047g_Rb_S200_L004	CMS002_047h_Rb_S1_L004	CMS002_047i_Rb_S2_L004	CMS002_047j_Rb_S3_L004	CMS002_049a_Rb_S4_L004	CMS002_050a_Rb_S5_L004	CMS002_051a_Rb_S6_L004	CMS002_053a_Rb_S7_L004	CMS002_054a_Rb_S8_L004	CMS002_056a_Rb_S9_L004	CMS002_057a_Rb_S10_L004	CMS002_0Water1_Rb_S127_L004	CMS002_0Water2_Rb_S139_L004	CMS002_0Water3_Rb_S151_L004	CMS002_0Water4_Rb_S163_L004	CMS002_0Water5_Rb_S175_L004	CMS002_0Water6_Rb_S187_L004	CMS002_0Water7_Rb_S199_L004
416|Levi-like	416|Levi-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1399|Botourmia-like	1399|Botourmia-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1438|Botourmia-like	1438|Botourmia-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1479|Botourmia-like	1479|Botourmia-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3061|Botourmia-like	3061|Botourmia-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4269|Botourmia-like	4269|Botourmia-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9191|Botourmia-like	9191|Botourmia-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2607735	Guadeloupe mosquito virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126139	0	0	0	0	0	111333	0	0	0	0	0	29058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207566	0	0	0	0	0	0	0	200926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112727	0	0
Goras virus	Goras virus	0	0	0	0	2704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1923660	Wenzhou sobemo-like virus 4	0	0	0	0	0	0	15217	0	0	0	0	0	0	0	0	84195	0	0	0	178963	0	2978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83018	0	0	155496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13300	0	0	0
2651926	Marma virus	0	175442	0	0	0	0	0	0	0	0	0	41158	0	144413	0	0	168698	15233	0	0	0	0	0	34741	0	95180	0	12816	0	0	0	66760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44390	0	0	133817	6916	19706	0	0	0	0	27814	0	49877	0	14597	0	0	96233	0	0	77077	0	0	0	0	0	0	10186	0	0	0	0	0	0	0	143810	0	0	0	0	0	0	0	0	0	0	0	0	0	63775	11849	0	15015	0	170845	0	148002	57761	198561	0	0	9001	0	218878	0	18990	0	0	0	0	0	0	7284	0	19187	0	0	0	0	26682	0	9794	182830	0	0	0	0	0	0	0	21836	0	22142	19479	0	10829	0	0	0	0	0	0	0	0	0	0	0	0	0
2304522	Culex-associated Luteo-like virus	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7158	0	0	0	0	0	5152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98|Luteo-like	98|Luteo-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128|Tombus-like	128|Tombus-like	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78116	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	35931	0	0	0	0	0	1768	0	0	2336	0	69	0	0	0	0	0	0	0	0	20626	0	0	0	0	186698	6656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3450	0	62	0	5013	0	0	0	0	0	0	0	0	0	0	20991	0	0	0	0	0	0	0	0	0	0	0	409432	0	0	5822	0	0	0	0	0	0	0	0	0	0	0	0	15	0	101513	0	0	0	0	0	0	0	0	0	0	0	0
312|Tombus-like	312|Tombus-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88|Tombus-like	88|Tombus-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0
2304484	Culex mosquito virus 4	0	0	0	23775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62630	0	0	0	0	0	0	0	0	0	0	0	0	0	74047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	22436	13184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2304486	Culex mosquito virus 6	0	0	0	0	0	0	0	0	0	529	0	6390	0	0	0	0	0	4001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3873	16677	0	0	0	0	0	5714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	0	0	0	2111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30216	1213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	920	0	0	0	0	0	0	0	0	0	8991	0	0	5291	0	5542	0	0	0	0	0	0	0	10	0	0	0	0
1636|Partiti-like	1636|Partiti-like	0	0	0	0	69099	0	0	0	0	0	0	0	0	0	0	0	0	0	7075	0	79548	0	0	0	0	0	0	0	123552	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	7649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118885	0	0	0	0	0	0	0	0	0	0	0	0	0	34974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173725	0	0	0	0	0	0	0	0	0	0	0
3110|Partiti-like	3110|Partiti-like	0	0	0	0	0	0	1858	0	0	0	0	0	202	0	0	535	0	0	0	125	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0
3256|Partiti-like	3256|Partiti-like	0	0	0	0	9942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
246|Reo-like	246|Reo-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lobuck virus	Lobuck virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
296|Reo-like	296|Reo-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	47213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5011	0	0	0	0	0	0	0	0	0	0	0	0	1522	0	142837	0	0	0	0	0	0	0	0	0	0	0	0
12259|Toti-like	12259|Toti-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1715|Toti-like	1715|Toti-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19890|Toti-like	19890|Toti-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22872|Toti-like	22872|Toti-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2923|Toti-like	2923|Toti-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39|Toti-like	39|Toti-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4499	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42|Toti-like	42|Toti-like	0	0	0	0	0	13	0	0	0	364	0	334	0	0	0	0	0	280	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	1123	0	0	0	0	512	0	0	0	0	0	0	0	0	0	0	0	0	0	608	2139	0	1502	0	20	0	0	0	0	0	0	0	0	0	20	0	1429	0	196	0	0	0	45	0	0	0	292	0	0	0	0	0	0	1314	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	136	94	20	0	0	0	0	0	404	0	34	0	0	30	0
49|Toti-like	49|Toti-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5308|Toti-like	5308|Toti-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55|Toti-like	55|Toti-like	0	0	13	0	0	88	0	0	0	203	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	760	0	132	0	0	0	0	0	0	0	0	0	138	0	0	0	84	0	0	0	165	0	0	0	0	0	0	0	0	0	0	4045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	42	23	210	0	0	0	0	160	0	0	0	0	0	223	0
